,Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
0,IEMG,,Equity,"US$57,736,122,727.00 ",8.99%,"24,323,588",US$51.39 ,-0.56%,No,No,1.38%,7.42%,-13.05%,48.19%,26.38%,"US$4,224,239,244.00 ","US$812,919,096.00 ","US$3,829,077,876.00 ","US$16,892,968,302.00 ","US$44,039,697,624.00 ","US$51,925,923,624.00 ",Emerging Markets Equities,2012-10-18,0.14%,Fidelity,US$1.30 ,18/12/2018,US$0.86 ,2.58%,12.01,0.88,2372.0,21.65%,35%,15%,1099.0,US$47.38 ,US$51.70 ,US$51.26 ,US$51.49 ,62.62,A,A,A,B+,B+,B,A,4.31,27.56%,14.00%,341.67,3.26%,4.06%
1,EEM,,Equity,"US$33,806,372,014.00 ",9.47%,"95,219,072",US$42.76 ,-0.79%,No,No,1.33%,7.73%,-13.22%,48.55%,24.39%,"US$1,865,828,497.50 ","US$998,486,185.50 ","US$1,675,182,663.00 ","(US$4,920,580,728.00)","US$7,083,732,415.50 ","(US$580,563,994.50)",Emerging Markets Equities,2003-04-11,0.67%,,US$0.87 ,18/12/2018,US$0.58 ,2.08%,11.97,0.91,1088.0,23.82%,35%,15%,1099.0,US$39.29 ,US$43.07 ,US$42.65 ,US$42.86 ,62.37,A-,A+,B-,B,B,B,A,4.34,31.40%,14.72%,344.66,3.21%,4.32%
2,GDXJ,,Equity,"US$4,568,697,419.00 ",8.67%,"13,262,567",US$32.84 ,-0.36%,No,No,7.32%,4.99%,-1.88%,82.09%,-0.32%,"(US$87,912,670.00)","(US$36,205,307.50)","(US$56,541,380.00)","US$327,485,337.50 ","US$3,085,715,234.40 ","US$4,190,367,439.79 ",Materials,2009-11-10,0.54%,,US$0.14 ,20/12/2018,US$0.14 ,0.41%,19.4,-0.3,70.0,44.94%,35%,15%,1099.0,US$28.90 ,US$32.77 ,US$32.44 ,US$33.09 ,66.04,B,A,B+,C,C,A-,B+,4.39,11.63%,16.02%,561.33,6.91%,0.00%
3,FNDE,,Equity,"US$2,309,273,145.00 ",10.18%,"478,855",US$28.46 ,-0.56%,No,No,1.46%,7.56%,-9.76%,73.22%,28.05%,"US$39,931,265.00 ",US$0.00 ,"US$39,931,265.00 ","US$421,558,657.00 ","US$1,680,742,524.99 ","US$2,096,084,674.84 ",Large Cap Blend Equities,2013-08-15,0.39%,Charles Schwab,US$0.79 ,28/12/2018,US$0.02 ,2.77%,10.45,1.04,306.0,30.10%,35%,15%,1099.0,US$26.14 ,US$28.63 ,US$28.39 ,US$28.50 ,64.52,A-,A-,A,A-,B-,C+,A-,4.09,12.33%,9.70%,573.56,3.23%,2.68%
6,IQDF,,Equity,"US$729,637,012.00 ",9.08%,"301,437",US$22.95 ,-0.22%,No,No,1.64%,7.04%,-13.79%,26.96%,9.99%,"(US$27,911,620.00)","US$20,381,949.00 ","US$20,381,949.00 ","(US$219,353,938.00)","US$360,229,264.76 ","US$682,200,219.66 ",Foreign Large Cap Equities,2013-04-12,0.47%,,US$1.28 ,21/12/2018,US$0.28 ,5.66%,15.61,0.84,176.0,17.02%,35%,15%,1099.0,US$21.23 ,US$23.08 ,US$22.89 ,US$23.01 ,64.18,A-,A-,B,,B,A,B,5.8,13.34%,59.45%,238.0,7.55%,3.65%
7,LIT,,Equity,"US$620,058,947.00 ",6.93%,"198,252",US$28.85 ,1.37%,No,No,2.30%,5.83%,-19.82%,72.86%,27.76%,"(US$21,104,434.00)",US$0.00 ,"(US$18,392,771.00)","(US$282,065,714.00)","US$718,254,305.50 ","US$723,465,757.62 ",Global Equities,2010-07-22,0.75%,2 Platforms,US$0.68 ,28/12/2018,US$0.68 ,2.39%,20.28,1.24,40.0,77.56%,35%,15%,1099.0,US$27.39 ,US$28.76 ,US$28.62 ,US$29.00 ,54.85,B-,B,C+,B,B+,A,C,5.09,29.87%,35.54%,248.85,0.00%,21.18%
8,VIDI,,Equity,"US$590,506,860.00 ",10.04%,"80,610",US$24.76 ,-0.32%,No,No,0.45%,7.56%,-14.55%,36.86%,19.72%,"US$14,896,360.00 ","US$7,316,070.00 ","US$19,380,900.00 ","(US$5,890,220.00)","(US$47,977,280.00)","(US$27,665,720.00)",Foreign Large Cap Equities,2013-10-30,0.61%,,US$0.63 ,19/12/2018,US$0.25 ,2.57%,9.82,0.77,245.0,5.56%,35%,15%,1099.0,US$22.97 ,US$25.13 ,US$24.69 ,US$24.85 ,63.81,B-,A,C+,,C+,B-,B+,5.33,5.05%,42.87%,340.09,6.07%,5.14%
9,IFV,,Equity,"US$564,976,878.00 ",12.11%,"311,263",US$19.53 ,-0.05%,No,No,1.61%,8.56%,-16.37%,25.20%,,"US$21,855,458.50 ","US$16,438,877.00 ","US$32,352,142.50 ","(US$236,161,450.50)","(US$12,318,523.71)","US$686,274,740.02 ",Global Equities,2014-07-22,1.06%,,US$0.32 ,18/12/2018,US$0.08 ,1.66%,10.6,0.87,6.0,100.00%,35%,15%,1099.0,US$17.92 ,US$19.67 ,US$19.40 ,US$19.64 ,66.52,C+,A,C,,,C+,C,,,,,,
10,TLTE,,Equity,"US$519,263,629.00 ",10.25%,"56,931",US$52.90 ,-0.30%,No,No,1.71%,8.74%,-15.13%,46.23%,23.75%,"US$10,294,656.00 ","US$10,294,656.00 ","US$10,294,656.00 ","(US$60,498,024.00)","US$233,765,423.00 ","US$288,722,533.00 ",Large Cap Blend Equities,2012-09-25,0.59%,,US$1.45 ,21/12/2018,US$0.23 ,2.80%,15.36,0.88,1070.0,26.02%,35%,15%,1099.0,US$48.18 ,US$53.18 ,US$52.74 ,US$52.98 ,65.27,A-,B+,B-,B+,A,B-,A,4.18,16.98%,11.36%,445.75,3.36%,3.20%
11,FM,,Equity,"US$494,196,027.00 ",8.30%,"125,826",US$28.32 ,0.14%,No,No,0.57%,5.28%,-16.85%,33.89%,5.40%,"US$4,195,057.50 ","US$4,195,057.50 ","US$4,195,057.50 ","(US$137,934,018.00)","(US$16,653,769.50)","US$110,647,730.50 ",Emerging Markets Equities,2012-09-12,0.81%,Fidelity,US$1.12 ,18/12/2018,US$0.32 ,4.02%,13.78,0.51,116.0,35.96%,35%,15%,1099.0,US$26.73 ,US$28.64 ,,,63.5,A-,A,C+,B-,A+,B,B,,,,,,
