,Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
0,QAI,IQ Hedge Multi-Strategy Tracker ETF,Alternatives,"$1,287,085,255.00",2.80%,"370,506",$29.69,0.03%,No,No,0.44%,1.92%,-2.32%,7.82%,7.15%,"-$73,513,742.50","-$48,749,637.50","-$59,051,202.50","$205,785,776.00","$155,449,755.50","$617,698,275.00",Long-Short,2009-03-25,0.79%,Charles Schwab,$0.55,2018-12-27,$0.55,1.85%,13.33,0.29,77.0,63.56%,35%,15%,1099,$29.09,$29.71,$29.65,$29.72,63.61,A-,A+,A-,B,B,,,,,,,,
1,MNA,IQ Merger Arbitrage ETF,Alternatives,"$853,811,312.00",1.73%,"281,006",$32.26,-0.15%,No,No,0.31%,1.48%,1.86%,15.32%,21.31%,"$4,827,592.00","$4,835,550.00","$4,827,592.00","$497,843,756.50","$758,779,341.00","$846,361,915.50",Hedge Fund,2009-11-17,0.78%,Charles Schwab,$0.00,2016-12-28,$0.06,0.00%,19.0,0.11,39.0,68.12%,35%,15%,1099,$31.74,$32.36,$32.19,$32.34,60.08,A,B+,B+,A,B+,,,4.69,0.00%,25.11%,221.07,13.13%,3.70%
2,WTMF,WisdomTree Managed Futures Strategy Fund,Alternatives,"$239,562,181.00",-1.16%,"87,706",$38.31,0.05%,No,No,0.08%,-0.80%,-2.32%,-4.00%,-3.39%,"-$17,328,445.00","-$3,832,283.00","-$15,388,808.00","$80,259,298.00","$92,370,130.00","$92,370,130.00",Hedge Fund,2011-01-05,0.65%,,$1.39,2018-12-24,$1.39,3.63%,0.0,-0.03,25.0,128.29%,39%,20%,1099,$38.27,$38.67,$38.24,$38.38,43.08,,,,,,,,,,,,,
3,FTLS,First Trust Long/Short Equity Fund,Alternatives,"$195,262,144.00",3.32%,"51,056",$38.32,0.10%,No,No,0.92%,2.73%,-4.98%,24.59%,,"$14,613,251.50",$0.00,"-$7,576,554.50","$52,919,869.00","$71,790,148.00","$171,112,967.50",Long-Short,2014-09-08,1.48%,,$0.32,2018-12-18,$0.12,0.84%,17.37,0.65,139.0,20.46%,35%,15%,1099,$37.24,$38.34,$38.25,$38.36,57.53,,,C+,,,,,5.02,34.52%,33.78%,86.06,9.33%,7.32%
5,RLY,SPDR SSgA Multi-Asset Real Return ETF,Alternatives,"$129,722,832.00",8.70%,"62,798",$24.73,0.53%,No,No,1.77%,6.00%,-6.49%,22.52%,-2.95%,"-$15,215,290.00","-$2,430,419.00","-$8,347,816.00","$29,568,056.00","$47,356,166.00","$55,707,671.43",Hedge Fund,2012-04-25,0.50%,Charles Schwab,$0.63,2018-12-27,$0.29,2.54%,12.89,0.6,11.0,100.00%,35%,15%,1099,$23.30,$24.70,$24.60,$24.80,62.73,A,A,A,B,B-,,,,,,,,
6,DIVY,Reality Shares DIVS ETF,Alternatives,"$71,126,892.00",3.80%,"17,852",$25.95,0.27%,No,No,-0.46%,1.33%,-2.46%,12.84%,,"$648,439.50","$1,947,765.50","$648,439.50","$12,196,552.00","$28,684,846.50","$66,481,037.73",Global Equities,2014-12-18,0.85%,,$0.16,2018-12-26,$0.16,0.61%,0.0,0.22,,,35%,15%,1099,$25.35,$26.33,$25.77,$26.10,51.58,,,B,,,,,6.7,81.03%,87.11%,0.0,0.00%,0.00%
7,CPI,IQ Real Return ETF,Alternatives,"$57,278,448.00",2.33%,"7,674",$27.23,0.04%,No,No,0.35%,1.95%,-0.40%,5.84%,7.38%,$0.00,$0.00,$0.00,"$29,092,922.50","$30,466,257.00","$34,382,568.50",Hedge Fund,2009-10-27,0.44%,,$0.35,2018-12-27,$0.35,1.28%,14.26,0.19,12.0,98.92%,35%,15%,1099,$26.75,$27.29,,,60.6,B+,B,A+,B-,A+,,,,,,,,
9,HTUS,Hull Tactical US ETF,Alternatives,"$49,401,540.00",7.11%,"12,498",$24.02,-0.41%,No,No,1.18%,4.43%,-4.15%,6.88%,,"-$2,361,259.50",$0.00,"-$2,361,259.50","-$45,895,405.00","$19,672,506.50","$49,419,506.50",Long-Short,2015-06-24,0.96%,,$2.47,2018-12-24,$2.26,10.31%,17.02,0.56,3.0,100.00%,35%,15%,1099,$23.03,$24.06,$23.91,$24.15,56.31,,,C+,,,,,,,,,,
11,BTAL,AGFiQ US Market Neutral Anti-Beta Fund,Alternatives,"$41,248,993.00",-4.23%,"64,410",$21.17,-0.24%,No,No,0.47%,-2.19%,13.97%,-6.12%,12.76%,"$6,785,257.00",$0.00,"-$7,451,218.00","$30,423,575.50","-$11,164,514.96","$39,258,230.18",Long-Short,2011-09-13,0.76%,,$0.09,2018-12-27,$0.09,0.41%,19.47,-0.61,376.0,135.18%,35%,15%,1099,$21.00,$21.58,$21.05,$21.31,44.99,B,B+,B-,C,B,,,,,,,,
12,HDG,ProShares Hedge Replication,Alternatives,"$34,660,507.00",3.67%,"6,311",$44.65,0.20%,No,No,0.79%,3.39%,-2.22%,9.23%,9.55%,"-$4,462,945.00","-$4,462,945.00","-$4,462,945.00","-$7,271,016.00","-$7,858,059.50","-$2,466,059.50",Long-Short,2011-07-12,0.95%,,$0.22,2018-12-26,$0.08,0.50%,17.02,0.33,445.0,92.49%,35%,15%,1099,$43.33,$44.74,$44.65,$44.66,64.81,B-,A-,B-,B+,A,,,6.59,90.48%,83.91%,199.16,1.11%,0.51%
