,Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
0,GLD,SPDR Gold Trust,Commodity,"$34,644,101,460.00",2.68%,"9,246,475",$124.50,-0.20%,No,No,1.33%,2.52%,-2.79%,16.41%,3.67%,"$1,514,351,840.00","$589,136,240.00","$1,077,350,334.00","-$466,741,532.00","$6,592,814,779.00","$2,786,124,189.00",Precious Metals,2004-11-18,0.40%,,$0.00,,,0.00%,0.0,-0.24,1.0,100.00%,35%,28%,1099,$120.00,$124.69,$124.23,$124.91,67.85,A-,A+,A-,B,B+,,,,,,,,
1,IAU,iShares Gold Trust,Commodity,"$12,397,608,000.00",2.69%,"14,529,810",$12.62,-0.16%,No,No,1.37%,2.44%,-2.70%,17.07%,4.56%,"$509,676,004.48","-$11,234,598.40","$390,182,611.20","$1,338,751,130.81","$5,377,014,667.81","$5,631,960,042.81",Precious Metals,2005-01-28,0.25%,,$0.00,,,0.00%,0.0,-0.24,1.0,100.00%,35%,28%,1099,$12.16,$12.64,$12.59,$12.67,68.81,A,A,A+,B+,B+,,,,,,,,
2,SGOL,Aberdeen Standard Physical Swiss Gold Shares ETF,Commodity,"$890,137,430.00",2.73%,"49,647",$127.06,-0.19%,No,No,1.39%,2.43%,-2.59%,16.49%,3.82%,"$18,570,752.50",$0.00,"$12,384,373.00","-$167,952,904.50","-$43,894,478.00","-$184,844,968.00",Precious Metals,2009-09-09,0.17%,Charles Schwab,$0.00,,,0.00%,0.0,-0.24,1.0,100.00%,35%,28%,1099,$122.44,$127.25,$126.78,$127.47,68.16,A+,A-,A,B+,A-,,,,,,,,
5,OUNZ,Van Eck Merk Gold Trust,Commodity,"$154,177,917.00",2.74%,"49,784",$12.93,-0.08%,No,No,1.41%,2.50%,-2.85%,16.49%,,"$5,753,555.21",$0.00,"$5,707,653.00","$14,945,759.87","$57,332,927.64","$149,202,334.93",Precious Metals,2014-05-16,0.40%,,$0.00,,,0.00%,0.0,-0.25,1.0,100.00%,35%,28%,1099,$12.46,$12.95,$12.88,$13.00,68.58,,,A-,,,,,,,,,,
6,UGLD,VelocityShares 3x Long Gold ETN,Commodity,"$140,491,199.00",7.33%,"110,898",$102.40,-0.54%,No,3x,4.00%,6.77%,-16.48%,19.35%,-27.38%,"-$5,257,132.50",$0.00,"-$5,257,132.50","$40,370,066.46","$69,755,479.49","$124,542,701.32",Leveraged Commodities,2011-10-17,1.35%,,$0.00,,,0.00%,0.0,-0.72,1.0,100.00%,35%,15%,1099,$92.16,$102.85,$101.74,$103.40,66.91,C+,A-,C+,C,B,,,,,,,,
7,DGL,Invesco DB Gold Fund,Commodity,"$137,762,820.00",2.55%,"41,160",$40.55,-0.07%,No,No,1.35%,2.42%,-4.00%,12.81%,-1.43%,"$39,843,360.00",$0.00,$0.00,"-$46,738,622.00","$7,223,820.00","$13,322,734.00",Precious Metals,2007-01-05,0.75%,,$0.58,2018-12-24,$0.58,1.44%,0.0,-0.24,1.0,100.00%,23%,23%,K-1,$39.13,$40.57,$40.51,$40.59,67.87,B+,A-,C+,B-,B+,,,,,,,,
9,UGL,ProShares Ultra Gold,Commodity,"$89,980,644.00",4.62%,"63,569",$39.14,-0.31%,No,2x,2.76%,4.62%,-9.36%,18.61%,-10.92%,"$1,888,336.00",$0.00,$0.00,"-$150,049.00","$2,361,602.50","-$26,251,733.91",Leveraged Commodities,2008-12-01,0.95%,,$0.00,,,0.00%,0.0,-0.47,1.0,100.00%,23%,23%,K-1,$36.46,$39.25,$38.97,$39.38,66.52,A,B+,B+,B-,A,,,,,,,,
10,DGP,DB Gold Double Long ETN,Commodity,"$89,032,145.00",12.24%,"30,960",$25.95,-0.57%,No,2x,3.84%,8.13%,-2.92%,29.17%,-3.21%,$0.00,$0.00,$0.00,"-$21,288,007.40","-$39,083,687.40","-$48,384,127.40",Leveraged Commodities,2008-02-28,0.75%,,$0.00,,,0.00%,0.0,-0.45,1.0,100.00%,35%,15%,1099,$23.49,$28.77,$25.65,$26.27,56.95,A-,B+,A-,B-,A,,,,,,,,
11,GLL,ProShares UltraShort Gold,Commodity,"$20,629,320.00",-4.72%,"13,695",$69.40,0.20%,Yes,2x,-2.68%,-4.39%,7.73%,-33.04%,-27.78%,"$3,615,111.00",$0.00,"$3,615,111.00","-$18,422,870.50","-$33,683,072.50","-$95,978,728.79",Leveraged Commodities,2008-12-01,0.95%,,$0.00,,,0.00%,0.0,0.46,1.0,100.00%,23%,23%,K-1,$69.23,$74.48,$69.02,$69.66,33.02,A-,B,B,A,A,,,,,,,,
12,DZZ,DB Gold Double Short ETN,Commodity,"$17,841,773.00",-4.83%,"12,347",$5.52,0.18%,Yes,2x,-2.82%,-4.58%,10.18%,-30.39%,-23.12%,$0.00,$0.00,$0.00,"-$9,179,358.00","-$31,657,749.36","-$53,909,369.36",Leveraged Commodities,2008-02-28,0.75%,,$0.00,,,0.00%,0.0,0.51,1.0,100.00%,35%,15%,1099,$5.51,$5.93,$5.50,$5.54,33.44,A,A-,A,A,A,,,,,,,,
