,Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
0,MUB,iShares National AMT-Free Muni Bond ETF,Bond,"$11,299,896,091.00",0.04%,"1,629,502",$109.08,-0.34%,No,No,0.09%,0.05%,2.55%,3.63%,14.57%,"-$502,355,932.00",$0.00,"-$567,497,974.00","$2,069,617,420.00","$5,583,290,323.00","$8,345,262,323.00",National Munis,2007-09-07,0.07%,2 Platforms,$2.68,2018-12-18,$0.22,2.45%,0.0,-0.05,3649,2.77%,35%,15%,1099,$108.82,$109.27,$109.01,$109.20,59.61,A+,A,B,B+,A,B+,A+,,,,,,
1,VTEB,Vanguard Tax-Exempt Bond Index ETF,Bond,"$4,079,961,522.00",0.36%,"851,690",$51.13,-0.31%,No,No,0.28%,0.40%,2.96%,6.00%,,"$89,497,876.00","$7,674,000.00","$81,822,000.00","$1,630,282,126.07","$3,877,993,240.72","$4,007,133,280.72",National Munis,2015-08-21,0.09%,,$1.17,2019-02-01,$0.11,2.28%,0.0,-0.04,65,32.99%,39%,20%,1099,$50.88,$51.16,$51.09,$51.20,65.42,A-,A-,A,,A-,C+,,,,,,,
2,SHM,SPDR Barclays Short Term Municipal Bond,Bond,"$3,663,641,772.00",0.33%,"859,706",$48.22,-0.08%,No,No,0.10%,0.35%,1.70%,1.41%,3.76%,"-$159,158,695.00","-$48,277,092.00","-$159,158,695.00","$62,186,812.00","$835,793,120.14","$1,558,439,938.50",National Munis,2007-10-10,0.20%,2 Platforms,$0.59,2018-12-19,$0.05,1.22%,0.0,-0.02,473,14.20%,35%,15%,1099,$48.07,$48.27,$48.18,$48.26,66.02,A,A+,A-,B-,A,C+,A,,,,,,
3,TFI,SPDR Barclays Capital Municipal Bond ETF,Bond,"$2,846,884,381.00",0.31%,"923,119",$48.27,-0.35%,No,No,0.23%,0.27%,2.53%,3.68%,15.83%,"-$19,316,453.00",$0.00,"-$43,513,133.00","$306,865,363.00","$1,215,849,389.04","$1,850,398,180.92",National Munis,2007-09-13,0.23%,2 Platforms,$1.08,2018-12-19,$0.09,2.23%,0.0,-0.07,485,38.20%,35%,15%,1099,$48.09,$48.37,$48.20,$48.36,61.4,A,A,B+,A-,A-,B+,A,,,,,,
4,SUB,iShares S&P Short Term National AMT-Free Bond ETF,Bond,"$2,150,402,255.00",0.08%,"247,242",$105.48,-0.13%,No,No,-0.02%,0.11%,1.77%,1.82%,3.31%,"$110,492,163.50","$5,269,907.50","$89,472,144.00","$645,883,844.50","$1,188,693,117.50","$1,368,720,617.50",National Munis,2008-11-05,0.07%,Fidelity,$1.39,2018-12-18,$0.14,1.32%,0.0,-0.01,1022,5.72%,35%,15%,1099,$105.29,$105.62,$105.39,$105.54,58.74,B+,B+,B,C+,A+,C,A,,,,,,
5,ITM,VanEck Vectors AMT-Free Intermediate Municipal Index ETF,Bond,"$1,737,515,362.00",0.44%,"337,340",$47.68,-0.42%,No,No,0.10%,0.17%,3.69%,5.24%,18.33%,"$62,002,253.00",$0.00,"$54,872,358.50","-$47,954,327.13","$396,501,596.87","$1,094,916,413.87",National Munis,2007-12-04,0.24%,TD Ameritrade,$0.74,2018-12-27,$0.10,1.55%,0.0,-0.09,2884,2.05%,35%,15%,1099,$47.49,$47.81,$47.61,$47.77,60.25,A,A,B+,A-,B,B,A,,,,,,
6,PZA,Invesco National AMT-Free Municipal Bond ETF,Bond,"$1,523,380,009.00",0.58%,"509,752",$25.06,-0.08%,No,No,0.68%,0.25%,2.41%,7.27%,24.96%,"-$14,988,002.00",$0.00,"-$20,019,038.00","-$93,247,112.00","$476,557,757.50","$977,918,024.50",National Munis,2007-10-11,0.28%,,$0.86,2019-01-22,$0.07,3.43%,0.0,-0.05,353,13.51%,35%,15%,1099,$24.89,$25.06,,,62.38,A-,A,B-,B+,B,A-,B,,,,,,
7,FMB,First Trust Managed Municipal ETF,Bond,"$557,323,056.00",0.50%,"94,295",$52.77,-0.06%,No,No,0.27%,0.46%,2.60%,8.47%,,"$52,637,528.50","$7,891,135.50","$42,101,769.50","$238,752,218.50","$505,404,403.00","$531,229,279.59",National Munis,2014-05-13,0.50%,,$1.35,2019-01-23,$0.12,2.56%,0.0,-0.04,579,9.80%,39%,20%,1099,$52.53,$52.80,$52.71,$52.87,60.52,B-,B-,C,B+,B,B+,,,,,,,
8,MUNI,PIMCO Intermediate Municipal Bond Strategy Fund,Bond,"$308,739,321.00",0.40%,"60,671",$53.03,-0.43%,No,No,0.15%,0.23%,2.93%,3.85%,11.94%,"-$7,940,334.00",$0.00,"-$7,940,334.00","$21,603,831.50","$61,961,872.00","$99,410,584.50",National Munis,2009-11-30,0.35%,,$1.36,2018-12-28,$0.10,2.55%,0.0,-0.04,159,19.42%,35%,15%,1099,$52.86,$53.14,$52.94,$53.14,57.51,B-,B,C+,B+,B+,B,C+,,,,,,
9,SMB,VanEck Vectors AMT-Free Short Municipal Index ETF,Bond,"$197,084,020.00",0.64%,"72,650",$17.41,-0.06%,No,No,0.14%,0.58%,2.19%,2.81%,5.30%,"-$4,344,085.00",$0.00,"-$4,344,085.00","-$26,821,985.50","-$63,241,855.50","-$26,234,974.50",National Munis,2008-02-22,0.20%,,$0.26,2018-12-27,$0.02,1.47%,0.0,-0.01,606,7.02%,35%,15%,1099,$17.31,$17.43,$17.39,$17.43,62.56,B+,A-,B+,B-,B+,B-,B,,,,,,
