,Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
0,SHV,iShares Short Treasury Bond ETF,Bond,"$21,195,754,087.00",0.06%,"2,994,905",$110.37,-0.18%,No,No,-0.13%,-0.01%,1.70%,2.65%,2.74%,"$518,902,219.00","-$44,216,272.00","$529,804,586.00","$12,706,069,817.00","$15,562,370,659.00","$18,936,121,659.00",Government Bonds,2007-01-11,0.15%,,$1.83,2018-12-18,$0.20,1.65%,0.0,-0.03,57,56.93%,35%,15%,1099,$110.33,$110.57,$110.36,$110.38,53.13,A-,A,A,B+,A+,B-,B-,6.7,91.18%,87.11%,0.0,0.00%,0.00%
1,SHY,iShares 1-3 Year Treasury Bond ETF,Bond,"$19,767,331,644.00",-0.05%,"4,144,142",$83.58,-0.30%,No,No,-0.02%,-0.05%,1.74%,1.55%,2.90%,"-$535,187,810.00","-$342,967,098.00","-$769,386,513.00","$8,665,756,477.00","$7,452,577,090.00","$11,962,193,090.00",Government Bonds,2002-07-22,0.15%,2 Platforms,$1.44,2018-12-18,$0.12,1.72%,0.0,-0.03,72,43.00%,35%,15%,1099,$83.49,$83.74,$83.55,$83.63,55.11,A,A,B,A,A+,C,B+,6.7,91.18%,87.11%,0.0,0.00%,0.00%
2,IEF,iShares 7-10 Year Treasury Bond ETF,Bond,"$11,555,539,978.00",-0.10%,"5,342,821",$104.10,-0.74%,No,No,0.26%,-0.29%,3.64%,0.28%,11.31%,"$1,430,205,230.00","$51,865,947.00","-$683,790,703.00","$3,462,955,368.00","$2,006,215,552.00","$7,622,012,696.00",Government Bonds,2002-07-26,0.15%,Fidelity,$2.34,2018-12-18,$0.21,2.24%,0.0,-0.15,15,98.98%,35%,15%,1099,$103.48,$104.59,$103.96,$104.36,56.58,A-,A,B+,B,B+,B+,B-,6.7,92.86%,87.11%,0.0,0.00%,0.00%
3,TLT,iShares 20+ Year Treasury Bond ETF,Bond,"$10,273,477,925.00",-0.45%,"9,309,392",$120.96,-0.83%,No,No,0.36%,-0.94%,2.73%,1.70%,26.28%,"$1,300,809,109.00","$241,373,541.00","$415,706,343.00","$3,889,890,525.00","$2,157,092,116.00","$7,092,351,744.00",Government Bonds,2002-07-26,0.15%,2 Platforms,$3.20,2018-12-18,$0.28,2.62%,0.0,-0.22,35,59.94%,35%,15%,1099,$119.53,$122.13,$120.68,$121.40,55.56,B-,A+,B-,C,C+,A,C+,6.7,92.86%,87.11%,0.0,0.00%,0.00%
4,BIL,SPDR Barclays 1-3 Month T-Bill ETF,Bond,"$8,472,112,820.00",-0.01%,"2,451,221",$91.45,-0.19%,No,No,-0.15%,-0.04%,1.59%,2.51%,2.33%,"-$82,638,234.50","-$132,814,628.00","$146,014,044.50","$6,303,339,462.50","$4,273,242,603.49","$6,375,545,020.76",Government Bonds,2007-05-25,0.14%,,$1.52,2018-12-19,$0.16,1.65%,0.0,0.03,13,92.84%,35%,15%,1099,$91.44,$91.65,$91.45,$91.46,47.45,B+,A+,A+,C+,A,B+,C+,6.7,91.18%,87.11%,0.0,0.00%,0.00%
5,GOVT,iShares U.S. Treasury Bond ETF,Bond,"$7,904,046,304.00",0.57%,"3,874,532",$24.79,-0.44%,No,No,0.12%,-0.28%,2.54%,0.76%,7.42%,"$990,478,097.00","-$121,645,877.00","$355,934,389.00","$2,530,360,161.00","$6,101,045,545.00","$7,846,519,545.00",Government Bonds,2012-02-14,0.15%,Fidelity,$0.49,2018-12-18,$0.04,1.95%,0.0,-0.08,118,31.06%,35%,15%,1099,$24.69,$24.87,$24.76,$24.83,56.78,A-,A-,B+,B+,A-,B-,B+,6.7,92.86%,87.11%,0.0,0.00%,0.00%
6,IEI,iShares 3-7 Year Treasury Bond ETF,Bond,"$7,767,821,410.00",-0.02%,"879,716",$121.37,-0.54%,No,No,0.17%,-0.17%,2.57%,0.88%,6.69%,"-$278,710,565.00","$35,935,159.00","-$583,017,596.00","$825,227,873.00","$2,324,120,757.00","$5,418,469,757.00",Government Bonds,2007-01-11,0.15%,TD Ameritrade,$2.37,2018-12-18,$0.22,1.95%,0.0,-0.09,75,57.18%,35%,15%,1099,$120.91,$121.78,$121.27,$121.57,56.54,A-,A,B-,A-,A-,C+,A-,6.7,92.86%,87.11%,0.0,0.00%,0.00%
7,VGSH,Vanguard Short-Term Treasury ETF,Bond,"$5,877,880,396.00",0.14%,"1,333,214",$60.08,-0.27%,No,No,0.19%,0.17%,2.04%,2.17%,3.59%,"$354,613,160.72","$226,924,500.00","$285,421,074.72","$3,959,785,262.55","$5,142,818,195.31","$5,489,831,474.51",Government Bonds,2009-11-23,0.07%,2 Platforms,$1.14,2019-02-01,$0.12,1.89%,0.0,-0.03,15,73.24%,35%,15%,1099,$59.87,$60.08,$60.05,$60.11,67.59,A,A-,A-,A,A,C+,A,6.7,91.18%,87.11%,0.0,0.00%,0.00%
8,SCHO,Schwab Short-Term U.S. Treasury ETF,Bond,"$4,829,156,491.00",-0.12%,"1,236,905",$49.85,-0.34%,No,No,-0.06%,-0.06%,1.82%,1.93%,3.43%,"$573,780,069.00","$102,305,184.50","$406,479,887.50","$2,567,152,599.50","$3,633,380,517.50","$4,352,414,378.00",Government Bonds,2010-08-05,0.06%,Charles Schwab,$0.89,2018-12-19,$0.09,1.78%,0.0,-0.02,85,29.47%,35%,15%,1099,$49.81,$49.96,$49.83,$49.88,54.22,A,A,A,A,A,C,B-,6.7,91.18%,87.11%,0.0,0.00%,0.00%
9,SCHR,Schwab Intermediate-Term U.S. Treasury ETF,Bond,"$3,773,333,904.00",-0.11%,"577,852",$52.89,-0.55%,No,No,0.17%,-0.19%,3.07%,1.67%,8.57%,"$349,459,499.50","$71,318,599.50","$219,471,472.50","$2,546,816,152.00","$3,271,695,068.50","$3,535,590,147.50",Government Bonds,2010-08-05,0.06%,Charles Schwab,$1.12,2018-12-19,$0.10,2.11%,0.0,-0.09,111,20.79%,35%,15%,1099,$52.67,$53.08,$52.83,$52.98,56.83,A-,B+,A,B+,B+,B-,B+,6.7,92.86%,87.11%,0.0,0.00%,0.00%
