,Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
0,XLE,,Equity,"US$13,344,135,854.00 ",13.15%,"19,747,532",US$64.89 ,1.74%,No,No,3.11%,8.38%,-11.58%,21.67%,-10.65%,"(US$1,704,236,036.00)","(US$339,747,215.00)","(US$1,332,511,613.00)","(US$3,361,786,615.50)","US$925,426,587.50 ","US$8,911,846,532.00 ",Energy Equities,1998-12-16,0.13%,,US$2.03 ,21/12/2018,US$0.53 ,3.20%,15.37,1.09,31.0,73.76%,35%,15%,1099.0,US$60.06 ,US$64.46 ,US$64.34 ,US$65.35 ,58.45,A,A+,A,B,A,A-,B,4.3,37.28%,13.85%,605.12,0.00%,0.13%
1,AMLP,,Equity,"US$9,157,176,042.00 ",13.86%,"26,563,792",US$9.94 ,1.02%,No,No,1.64%,5.30%,-6.56%,21.92%,-18.04%,"(US$256,123,443.00)","(US$156,707,479.00)","(US$316,489,542.00)","(US$535,023,616.50)","US$3,092,068,897.50 ","US$6,206,535,334.57 ",MLPs,2010-08-24,0.85%,,US$0.81 ,8/11/2018,US$0.19 ,8.22%,13.64,1.07,24.0,72.05%,35%,15%,1099.0,US$9.44 ,US$10.00 ,,,56.96,A,A+,A-,C+,A-,B+,B+,2.66,0.35%,0.34%,462.48,0.00%,0.02%
2,VDE,,Equity,"US$3,590,790,324.00 ",13.58%,"557,406",US$87.58 ,1.67%,No,No,2.87%,8.19%,-12.88%,19.01%,-15.62%,"US$1,064,750.00 ","(US$18,993,250.00)","(US$10,715,750.00)","(US$166,481,213.87)","(US$368,758,776.71)","US$2,402,344,378.85 ",Energy Equities,2004-09-23,0.10%,Vanguard,US$2.58 ,13/12/2018,US$0.67 ,3.01%,14.1,1.14,139.0,66.37%,35%,15%,1099.0,US$81.30 ,US$87.17 ,US$86.83 ,US$88.23 ,57.28,A,A-,A,B,A-,A,A,4.19,30.66%,11.58%,577.8,0.00%,0.23%
3,AMJ,,Equity,"US$2,982,140,000.00 ",13.26%,"3,965,498",US$25.28 ,1.08%,No,No,2.27%,5.95%,-10.82%,16.93%,-28.27%,US$0.00 ,US$0.00 ,US$0.00 ,US$0.00 ,US$0.00 ,"(US$243,900,000.00)",MLPs,2009-04-02,0.85%,,US$0.87 ,28/11/2018,US$0.45 ,3.45%,0.0,1.15,39.0,0.62%,35%,15%,1099.0,US$23.98 ,US$25.39 ,,,57.16,A-,A,A-,A,C,B,,,,,,,
4,EMLP,,Equity,"US$2,236,471,810.00 ",10.02%,"1,177,876",US$23.60 ,0.38%,No,No,2.12%,6.50%,0.85%,32.74%,21.05%,"(US$56,549,290.00)","(US$4,609,598.00)","(US$61,931,317.50)","(US$21,735,374.50)","US$1,284,994,026.50 ","US$1,937,230,325.50 ",Large Cap Blend Equities,2012-06-20,0.95%,,US$1.01 ,18/12/2018,US$0.29 ,4.30%,16.01,0.65,53.0,45.94%,35%,15%,1099.0,US$22.19 ,US$23.63 ,US$23.49 ,US$23.65 ,63.26,B+,A-,C+,B,B+,C+,A+,5.44,79.79%,46.79%,1642.63,27.48%,4.98%
5,XOP,,Equity,"US$2,148,266,487.00 ",15.72%,"23,553,502",US$30.70 ,0.52%,No,No,0.56%,7.23%,-16.60%,10.48%,-50.79%,"(US$372,649,346.50)","US$4,244,101.00 ","(US$593,262,158.50)","US$345,457,468.50 ","US$443,981,858.00 ","US$2,703,491,702.00 ",Energy Equities,2006-06-19,0.35%,,US$0.26 ,21/12/2018,US$0.07 ,0.85%,10.31,1.48,69.0,20.64%,35%,15%,1099.0,US$29.01 ,US$31.61 ,,,50.84,B+,A,A-,B+,C+,C+,A-,3.46,9.06%,2.89%,664.03,0.00%,1.47%
6,MLPI,,Equity,"US$1,336,080,246.00 ",11.79%,"1,321,966",US$22.10 ,1.14%,No,No,1.66%,4.34%,-9.95%,16.89%,-26.33%,"(US$73,812,080.00)",US$0.00 ,"(US$27,610,830.00)","(US$384,696,721.81)","(US$203,682,895.30)","US$950,696,232.46 ",MLPs,2010-03-31,0.85%,,US$0.80 ,11/10/2018,US$0.40 ,3.62%,0.0,1.12,23.0,72.14%,35%,15%,1099.0,US$21.05 ,US$22.32 ,,,55.24,A,A,B+,A-,B-,B+,,,,,,,
7,IXC,,Equity,"US$1,235,460,179.00 ",11.75%,"651,042",US$32.80 ,1.05%,No,No,2.92%,6.70%,-8.85%,32.06%,-5.71%,"(US$70,937,854.50)","(US$33,386,800.50)","(US$66,474,279.00)","US$250,378,402.50 ","US$278,744,133.00 ","US$585,653,133.00 ",Energy Equities,2001-11-16,0.47%,,US$1.03 ,18/12/2018,US$0.54 ,3.21%,21.39,1.0,79.0,56.14%,35%,15%,1099.0,US$30.73 ,US$32.59 ,US$32.61 ,US$32.95 ,58.93,A-,A-,B,B-,A,A-,A,4.99,57.49%,33.17%,567.28,1.76%,0.86%
8,OIH,,Equity,"US$1,079,094,290.00 ",22.74%,"9,931,639",US$17.22 ,2.07%,No,No,0.12%,13.36%,-37.28%,-24.36%,-57.67%,"(US$202,694,269.50)","(US$7,536,593.50)","(US$267,576,171.50)","(US$219,132,952.50)","US$440,124,263.00 ","US$1,004,170,088.96 ",Energy Equities,2011-12-20,0.35%,,US$0.30 ,20/12/2018,US$0.30 ,1.77%,33.83,1.39,26.0,72.45%,35%,15%,1099.0,US$15.47 ,US$17.52 ,US$16.93 ,US$17.48 ,54.47,B+,A,A-,B+,B,B+,C,4.44,41.46%,17.07%,164.9,0.00%,0.12%
9,MLPA,,Equity,"US$871,284,461.00 ",15.25%,"1,516,487",US$8.84 ,1.26%,No,No,1.84%,6.63%,-8.88%,23.58%,-21.68%,"US$19,720,496.50 ","(US$1,290,293.00)","US$15,850,771.50 ","US$112,345,029.50 ","US$799,178,453.50 ","US$1,057,592,453.50 ",MLPs,2012-04-18,0.46%,2 Platforms,US$0.77 ,8/11/2018,US$0.19 ,8.78%,17.35,1.1,21.0,69.75%,35%,15%,1099.0,US$8.35 ,US$8.88 ,,,57.4,A-,B,C,B-,A,A,A,2.89,1.74%,0.61%,412.71,0.00%,0.00%
