,Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
0,EXI,iShares S&P Global Industrials ETF,Equity,"US$213,377,625.00 ",9.65%,"28,405",US$85.44 ,0.20%,No,No,1.85%,7.96%,-10.69%,40.42%,37.82%,"US$16,069,422.50 ","US$4,127,310.50 ","US$12,240,921.50 ","(US$50,528,679.50)","US$13,847,656.50 ","(US$145,534,343.50)",Industrials Equities,2006-09-21,0.47%,,US$1.72 ,18/12/2018,US$0.61 ,2.04%,16.78,1.04,224,25.30%,35%,15%,1099.0,US$78.84 ,US$85.80 ,US$85.18 ,US$85.69 ,61.43,B-,A-,B,B,B+,C+,A,6.32,79.52%,76.56%,161.38,24.59%,5.67%
1,RING,iShares MSCI Global Gold Miners ETF,Equity,"US$202,683,748.00 ",8.26%,"169,889",US$17.56 ,-0.68%,No,No,5.85%,6.42%,-8.23%,50.95%,-8.17%,"US$12,151,730.00 ","US$2,576,766.00 ","US$12,151,730.00 ","(US$98,214,741.50)","US$204,829,883.50 ","US$238,043,418.50 ",Materials,2012-01-31,0.39%,Fidelity,US$0.11 ,18/12/2018,US$0.04 ,0.64%,17.55,-0.3,42,67.59%,35%,15%,1099.0,US$15.40 ,US$17.50 ,US$17.37 ,US$17.70 ,65.07,B,A-,A,C,C+,B-,B+,4.91,29.07%,30.97%,538.6,4.26%,0.00%
3,IPKW,Invesco International BuyBack Achievers??ETF,Equity,"US$193,450,726.00 ",8.40%,"65,440",US$31.23 ,0.26%,No,No,0.61%,5.69%,-19.47%,34.40%,,"(US$20,584,295.00)","(US$4,648,354.50)","(US$4,648,354.50)","(US$19,022,544.50)","US$133,814,176.00 ","US$198,415,596.49 ",Global Equities,2014-02-27,0.55%,,US$0.75 ,24/12/2018,US$0.26 ,2.41%,14.11,0.94,36,45.79%,35%,15%,1099.0,US$29.68 ,US$31.45 ,US$31.16 ,US$31.31 ,59.44,B-,B,C+,,A,C+,,5.71,77.98%,56.25%,133.22,4.79%,4.34%
4,PIZ,Invesco DWA Developed Markets Momentum ETF,Equity,"US$190,327,290.00 ",6.68%,"54,205",US$24.50 ,-0.04%,No,No,0.91%,5.60%,-15.96%,15.36%,3.67%,"(US$8,288,490.50)",US$0.00 ,"(US$8,288,490.50)","(US$28,286,658.50)","(US$48,052,028.50)","(US$394,461,218.50)",Foreign Large Cap Equities,2007-12-28,0.81%,Charles Schwab,US$0.24 ,24/12/2018,US$0.04 ,0.99%,24.04,0.88,101,25.75%,35%,15%,1099.0,US$23.17 ,US$24.79 ,US$24.46 ,US$24.55 ,60.19,B-,B+,C,A+,B,C+,B-,6.7,83.81%,87.24%,74.73,9.70%,7.75%
5,DOO,WisdomTree International Dividend ex-Financials Fund,Equity,"US$177,563,315.00 ",6.31%,"22,092",US$40.29 ,0.00%,No,No,1.64%,4.46%,-8.45%,22.33%,7.71%,"US$7,858,668.00 ",US$0.00 ,"US$7,858,668.00 ","(US$13,071,468.50)","(US$64,010,118.50)","(US$105,367,210.00)",Foreign Large Cap Equities,2006-06-16,0.58%,E*TRADE,US$1.59 ,24/12/2018,US$0.29 ,3.99%,13.95,0.73,89,18.90%,35%,15%,1099.0,US$38.39 ,US$40.32 ,,,61.28,B-,B+,C+,C+,A-,A,C+,6.79,88.86%,88.88%,350.27,20.14%,5.16%
6,GRES,IQ Global Resources ETF,Equity,"US$177,113,569.00 ",7.57%,"25,421",US$27.14 ,-0.18%,No,No,1.31%,5.89%,-5.08%,32.30%,0.72%,"(US$10,410,920.00)",US$0.00 ,"(US$7,895,511.00)","(US$51,411,756.50)","US$113,247,468.00 ","US$92,582,993.50 ",Large Cap Blend Equities,2009-10-27,0.78%,Charles Schwab,US$0.19 ,27/12/2018,US$0.20 ,0.72%,14.4,0.53,206,33.36%,35%,15%,1099.0,US$25.55 ,US$27.28 ,,,64.74,B+,B-,C,A-,A-,B+,A,5.33,73.87%,42.72%,854.61,6.08%,8.16%
7,ARKQ,ARK Industrial Innovation ETF,Equity,"US$171,279,827.00 ",13.02%,"29,782",US$33.33 ,0.21%,No,No,3.57%,12.11%,-5.19%,111.27%,,US$0.00 ,US$0.00 ,US$0.00 ,"US$39,519,290.00 ","US$140,464,130.50 ","US$152,319,783.50 ",Global Equities,2014-09-30,0.75%,,US$0.55 ,27/12/2018,US$0.55 ,1.70%,23.53,1.38,36,63.62%,35%,15%,1099.0,US$29.79 ,US$33.13 ,US$33.12 ,US$33.47 ,60.44,,,C,,,,,5.15,20.48%,37.34%,29.33,7.42%,14.58%
8,PIO,Invesco Global Water ETF,Equity,"US$170,305,875.00 ",9.01%,"13,735",US$25.16 ,-0.16%,No,No,1.76%,7.29%,-4.27%,33.23%,21.43%,"(US$3,677,974.50)","(US$2,482,172.00)","(US$3,677,974.50)","(US$14,767,065.00)","(US$78,083,286.50)","(US$95,456,384.50)",Mid Cap Growth Equities,2007-06-13,0.75%,,US$0.46 ,24/12/2018,US$0.11 ,1.83%,20.0,0.95,46,55.90%,35%,15%,1099.0,US$23.24 ,US$25.37 ,US$25.09 ,US$25.27 ,62.48,B+,B+,B+,B+,A-,A,A,6.13,90.24%,70.70%,164.19,1.42%,18.18%
9,ACIM,SPDR MSCI ACWI IMI ETF,Equity,"US$165,608,440.00 ",8.12%,"30,985",US$75.27 ,-0.17%,No,No,1.00%,6.42%,-7.39%,38.91%,40.47%,US$0.00 ,US$0.00 ,US$0.00 ,"US$72,040,958.00 ","US$109,195,558.00 ","US$133,670,823.00 ",Large Cap Blend Equities,2012-02-27,0.25%,Charles Schwab,US$1.31 ,21/12/2018,US$0.73 ,1.76%,14.09,0.82,953,9.83%,35%,15%,1099.0,US$70.47 ,US$75.99 ,,,59.32,A-,B-,A,A,C,A-,A-,5.84,49.45%,60.88%,180.03,9.88%,5.72%
10,CUT,Invesco MSCI Global Timber ETF,Equity,"US$165,366,420.00 ",14.46%,"18,629",US$27.54 ,0.07%,No,No,0.88%,10.87%,-14.31%,39.93%,24.11%,US$0.00 ,US$0.00 ,US$0.00 ,"(US$30,578,936.00)","(US$42,936,270.50)","(US$128,493,959.50)",Materials,2007-11-09,0.55%,,US$0.82 ,24/12/2018,US$0.82 ,3.00%,14.94,1.08,79,43.90%,35%,15%,1099.0,US$24.66 ,US$28.11 ,US$27.41 ,US$27.71 ,64.1,A-,B+,C+,A+,A,B,B-,5.58,57.14%,51.55%,402.85,0.61%,5.44%
