,Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
0,VEA,Vanguard FTSE Developed Markets ETF,Equity,"US$68,314,870,968.00 ",7.41%,"23,600,528",US$39.85 ,-0.05%,No,No,0.89%,5.20%,-12.80%,25.76%,17.41%,"(US$1,430,893,550.52)","(US$690,518,328.46)","(US$1,431,038,308.77)","US$6,731,683,650.10 ","US$36,076,550,887.15 ","US$49,186,938,700.94 ",Foreign Large Cap Equities,2007-07-26,0.07%,2 Platforms,US$1.24 ,24/12/2018,US$0.38 ,3.12%,12.9,0.86,1839,9.32%,35%,15%,1099,US$37.79 ,US$40.08 ,,,60.11,A,A,A,A-,B,A-,A,6.35,48.96%,77.64%,181.45,10.44%,5.96%
1,EFA,iShares MSCI EAFE ETF,Equity,"US$64,962,758,905.00 ",6.60%,"42,121,600",US$62.66 ,-0.03%,No,No,0.79%,4.59%,-12.78%,23.28%,14.11%,"(US$1,321,481,760.00)","(US$149,299,032.00)","(US$1,321,481,760.00)","(US$6,828,902,658.00)","US$4,782,654.00 ","US$13,794,366,654.00 ",Foreign Large Cap Equities,2001-08-14,0.31%,,US$1.99 ,18/12/2018,US$0.64 ,3.20%,13.29,0.85,1175,11.96%,35%,15%,1099,US$59.83 ,US$62.97 ,,,59.07,A,A+,A-,A-,B,B+,A,6.6,74.09%,84.24%,157.42,12.51%,6.94%
2,IEFA,iShares Core MSCI EAFE ETF,Equity,"US$55,235,395,841.00 ",6.75%,"15,747,113",US$58.71 ,0.05%,No,No,0.76%,4.67%,-13.22%,24.94%,16.88%,"(US$585,440,426.00)",US$0.00 ,"(US$585,440,426.00)","US$12,458,622,340.00 ","US$46,952,058,354.00 ","US$56,271,844,354.00 ",Foreign Large Cap Equities,2012-10-18,0.08%,Fidelity,US$1.90 ,18/12/2018,US$0.75 ,3.27%,13.31,0.85,2759,11.09%,35%,15%,1099,US$56.03 ,US$59.00 ,,,59.4,A+,A,A,,B+,B+,A,6.44,57.25%,80.02%,157.0,11.17%,6.62%
3,VEU,Vanguard FTSE All-World ex-US ETF,Equity,"US$22,965,349,204.00 ",7.35%,"5,250,461",US$48.93 ,-0.20%,No,No,0.85%,5.29%,-12.77%,30.39%,18.78%,"US$41,551,594.17 ","(US$232,983,820.99)","(US$204,254,755.62)","US$1,936,329,729.06 ","US$8,472,542,699.08 ","US$12,017,128,029.90 ",Foreign Large Cap Equities,2007-03-08,0.11%,2 Platforms,US$1.49 ,24/12/2018,US$0.45 ,3.03%,12.6,0.88,1115,9.29%,35%,15%,1099,US$46.33 ,US$49.23 ,US$48.81 ,US$49.06 ,60.26,A,A+,A,B,B,A-,A,6.0,21.11%,66.14%,224.1,9.44%,5.82%
4,SCHF,Schwab International Equity ETF,Equity,"US$16,143,886,626.00 ",7.20%,"7,488,307",US$30.39 ,0.00%,No,No,0.86%,5.23%,-12.47%,26.11%,15.16%,"US$189,183,333.00 ",US$0.00 ,"US$118,715,883.00 ","US$4,069,440,163.00 ","US$10,941,014,466.00 ","US$14,404,195,085.00 ",Large Cap Blend Equities,2009-11-03,0.06%,Charles Schwab,US$0.87 ,12/12/2018,US$0.87 ,2.86%,13.91,0.84,1330,14.36%,35%,15%,1099,US$28.83 ,US$30.58 ,,,60.13,A,A,A+,B+,A-,B,A,6.44,57.12%,80.00%,179.73,11.19%,6.18%
5,VT,Vanguard Total World Stock ETF,Equity,"US$13,300,380,969.00 ",8.00%,"3,534,106",US$70.70 ,0.01%,No,No,1.33%,6.40%,-7.10%,40.50%,40.84%,"US$531,582,653.40 ","(US$83,292,000.00)","US$270,142,653.40 ","US$3,017,184,955.95 ","US$6,288,637,951.22 ","US$8,971,436,906.57 ",Large Cap Blend Equities,2008-06-26,0.10%,2 Platforms,US$2.02 ,24/12/2018,US$0.49 ,2.87%,15.3,0.95,847,9.01%,35%,15%,1099,US$66.31 ,US$71.02 ,US$70.51 ,US$70.89 ,60.36,A+,A,A,A-,A-,B+,A+,5.55,28.31%,50.66%,206.0,10.40%,5.76%
6,IXUS,iShares Core MSCI Total International Stock ETF,Equity,"US$13,299,367,746.00 ",7.56%,"1,584,950",US$56.50 ,-0.21%,No,No,0.93%,5.57%,-12.85%,30.85%,17.74%,"US$375,181,176.00 ",US$0.00 ,"US$140,720,196.00 ","US$5,445,748,265.00 ","US$11,346,950,719.00 ","US$12,840,194,719.00 ",Foreign Large Cap Equities,2012-10-18,0.10%,Fidelity,US$1.58 ,18/12/2018,US$0.69 ,2.78%,12.97,0.84,4453,9.03%,35%,15%,1099,US$53.37 ,US$56.88 ,,,60.96,A,A,A,B+,B+,A-,A,5.91,16.19%,63.05%,219.31,8.90%,5.71%
7,VXUS,Vanguard Total International Stock ETF,Equity,"US$11,303,203,579.00 ",7.50%,"1,627,361",US$50.76 ,-0.16%,No,No,0.91%,5.49%,-12.92%,29.91%,18.52%,"US$382,604,675.78 ","US$36,308,697.43 ","US$151,466,922.39 ","US$1,666,388,243.78 ","US$5,502,882,114.37 ","US$8,876,842,255.04 ",Foreign Large Cap Equities,2011-01-26,0.11%,Vanguard,US$1.50 ,24/12/2018,US$0.50 ,2.95%,12.7,0.86,889,7.58%,35%,15%,1099,US$47.96 ,US$51.07 ,,,60.89,A,A,A+,B+,B,A-,A,5.94,17.75%,64.27%,223.72,8.52%,5.39%
8,GDX,VanEck Vectors Gold Miners ETF,Equity,"US$10,734,227,663.00 ",7.02%,"48,041,112",US$22.57 ,-0.53%,No,No,6.56%,5.96%,-4.27%,61.43%,-0.81%,"(US$526,017,491.50)","(US$15,313,305.00)","(US$526,017,491.50)","US$3,448,734,579.00 ","US$3,844,184,814.50 ","US$4,418,705,049.50 ",Materials,2006-05-22,0.53%,,US$0.10 ,20/12/2018,US$0.10 ,0.47%,27.41,-0.27,47,58.29%,35%,15%,1099,US$19.87 ,US$22.43 ,US$22.30 ,US$22.75 ,66.15,B+,A+,A-,C+,C+,B+,B-,5.27,60.47%,40.94%,446.9,2.67%,0.00%
9,ACWI,iShares MSCI ACWI ETF,Equity,"US$10,382,826,645.00 ",7.92%,"6,039,442",US$69.24 ,-0.12%,No,No,1.27%,6.42%,-7.16%,39.57%,40.72%,"(US$1,056,209,620.00)","(US$327,262,228.00)","(US$1,491,450,804.00)","US$2,237,075,688.00 ","US$3,338,785,906.00 ","US$3,921,467,906.00 ",Large Cap Blend Equities,2008-03-26,0.32%,2 Platforms,US$1.44 ,28/12/2018,US$0.04 ,2.08%,16.74,0.94,1534,11.32%,35%,15%,1099,US$64.88 ,US$69.57 ,US$69.06 ,US$69.44 ,60.19,A,A,A-,A-,A-,B,A,5.7,37.29%,55.73%,199.87,11.20%,6.20%
