日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
105/12/01,"13,923,341","2,540,480,903",182.00,183.00,181.50,183.00, 0.00,"6,514"
105/12/02,"53,946,366","9,634,395,330",179.00,179.50,178.00,178.00,-5.00,"21,618"
105/12/05,"32,249,536","5,771,614,169",178.00,180.00,178.00,179.00,+1.00,"10,198"
105/12/06,"27,728,861","5,051,414,702",181.00,183.00,180.50,182.00,+3.00,"10,430"
105/12/07,"14,529,260","2,645,149,219",183.00,183.50,181.50,181.50,-0.50,"5,127"
105/12/08,"27,276,757","5,030,766,288",184.00,185.50,183.00,185.50,+4.00,"11,258"
105/12/09,"24,890,768","4,618,750,580",186.00,186.00,184.50,186.00,+0.50,"8,116"
105/12/12,"18,817,929","3,494,579,936",186.00,187.00,184.00,185.00,-1.00,"6,853"
105/12/13,"23,692,594","4,398,859,330",186.50,186.50,184.50,186.00,+1.00,"7,561"
105/12/14,"16,768,971","3,131,823,106",186.50,187.50,185.50,187.50,+1.50,"6,485"
105/12/15,"24,244,941","4,508,246,366",185.00,187.50,184.50,187.00,-0.50,"6,135"
105/12/16,"36,266,938","6,720,634,530",185.50,187.00,185.00,185.00,-2.00,"7,994"
105/12/19,"20,553,355","3,763,429,465",184.00,184.50,182.50,182.50,-2.50,"7,956"
105/12/20,"24,243,414","4,394,840,051",181.00,182.50,180.00,182.50, 0.00,"10,223"
105/12/21,"32,234,176","5,828,554,894",181.00,182.00,180.00,180.00,-2.50,"11,377"
105/12/22,"26,509,271","4,758,580,950",180.00,180.50,179.00,179.00,-1.00,"10,768"
105/12/23,"24,376,885","4,359,360,001",179.00,180.00,178.50,178.50,-0.50,"9,298"
105/12/26,"5,694,358","1,021,265,940",179.00,180.00,179.00,179.50,+1.00,"3,404"
105/12/27,"8,276,087","1,488,495,160",180.00,180.50,179.50,180.00,+0.50,"4,246"
105/12/28,"21,441,126","3,896,591,783",181.00,182.00,180.50,182.00,+2.00,"7,026"
105/12/29,"30,211,764","5,453,513,284",180.00,181.50,180.00,180.00,-2.00,"10,947"
105/12/30,"36,748,382","6,647,442,778",181.00,182.50,180.00,181.50,+1.50,"11,638"
106/01/03,"23,550,783","4,300,648,272",181.50,183.50,181.00,183.00,+1.50,"8,743"
106/01/04,"24,482,374","4,478,699,942",183.00,184.00,181.50,183.00, 0.00,"8,476"
106/01/05,"21,373,561","3,913,389,163",182.00,183.50,181.50,183.50,+0.50,"8,297"
106/01/06,"23,120,808","4,250,912,732",184.00,184.50,183.50,184.00,+0.50,"9,659"
106/01/09,"18,583,788","3,419,409,204",184.00,185.00,183.00,184.00, 0.00,"5,759"
106/01/10,"20,691,305","3,811,496,280",184.50,185.50,183.50,184.00, 0.00,"7,831"
106/01/11,"29,747,168","5,438,136,536",185.00,185.00,181.50,182.00,-2.00,"10,509"
106/01/12,"48,599,502","8,959,263,194",182.50,185.50,182.50,184.50,+2.50,"13,220"
106/01/13,"53,089,358","9,622,624,651",180.50,182.50,180.50,181.50,-3.00,"16,366"
106/01/16,"30,878,049","5,545,432,320",180.00,180.50,179.00,179.50,-2.00,"13,441"
106/01/17,"13,207,419","2,386,575,839",180.50,181.00,179.50,181.00,+1.50,"5,771"
106/01/18,"23,810,637","4,292,682,797",180.50,181.00,179.50,181.00, 0.00,"7,783"
106/01/19,"25,935,613","4,673,783,621",179.50,181.00,179.50,180.50,-0.50,"8,400"
106/01/20,"42,317,086","7,658,563,990",181.00,181.50,180.50,181.00,+0.50,"7,803"
106/01/23,"58,299,156","10,699,572,592",182.50,185.00,182.50,185.00,+4.00,"13,560"
106/01/24,"72,014,239","13,356,900,945",185.00,186.50,184.50,185.50,+0.50,"14,227"
106/02/02,"153,703,780","28,731,441,750",188.00,188.50,184.00,184.50,-1.00,"21,047"
106/02/03,"30,387,652","5,604,884,683",186.00,186.00,183.50,184.50, 0.00,"8,079"
106/02/06,"29,702,832","5,476,151,588",184.50,185.50,184.00,184.50, 0.00,"8,330"
106/02/07,"23,981,988","4,418,689,272",183.50,185.00,183.00,184.50, 0.00,"8,712"
106/02/08,"45,607,272","8,371,548,478",183.50,184.50,183.00,183.50,-1.00,"8,245"
106/02/09,"23,419,788","4,320,161,722",184.00,185.50,183.50,184.00,+0.50,"6,639"
106/02/10,"49,257,380","9,113,650,300",184.50,185.50,184.00,185.50,+1.50,"9,566"
106/02/13,"26,155,819","4,904,437,753",186.50,188.00,186.50,187.50,+2.00,"10,124"
